Date	Open	High	Low	Close*	Adj Close**	Volume
Feb 10, 2021	326.00	332.65	319.50	328.90	328.90	93,466,949
Feb 09, 2021	337.00	338.50	322.20	325.05	325.05	105,981,081
Feb 08, 2021	318.75	339.25	318.00	335.95	335.95	102,123,614
Feb 05, 2021	327.60	330.00	312.60	315.90	315.90	103,512,235
Feb 04, 2021	329.00	334.50	322.45	326.15	326.15	121,033,002
Feb 03, 2021	339.20	341.90	326.20	331.00	331.00	224,190,114
Feb 02, 2021	293.60	328.85	290.40	322.00	322.00	251,965,965
Feb 01, 2021	269.75	282.00	255.35	279.60	279.60	165,655,500
Jan 29, 2021	273.00	278.80	260.60	262.70	262.70	138,442,348
Jan 28, 2021	260.05	273.40	259.05	266.80	266.80	129,156,876
Jan 27, 2021	274.90	275.00	265.70	267.50	267.50	126,586,833
Jan 25, 2021	296.90	299.50	277.35	279.15	279.15	164,346,913
Jan 22, 2021	295.95	306.90	278.35	289.35	289.35	316,008,609
Jan 21, 2021	281.00	299.00	280.00	290.60	290.60	283,614,463
Jan 20, 2021	260.00	277.50	258.85	274.90	274.90	205,145,151
Jan 19, 2021	251.50	261.70	251.30	258.65	258.65	136,861,059
Jan 18, 2021	261.65	262.45	241.15	245.95	245.95	173,383,224
Jan 15, 2021	246.00	264.65	242.60	260.30	260.30	250,038,029
Jan 14, 2021	242.85	249.80	238.60	245.10	245.10	86,819,519
Jan 13, 2021	242.90	248.80	238.40	242.60	242.60	164,649,387
Jan 12, 2021	227.00	252.40	224.10	237.80	237.80	390,577,839
Jan 11, 2021	199.90	225.40	199.65	220.65	220.65	182,483,100
Jan 08, 2021	198.75	201.50	197.10	198.15	198.15	53,991,568
Jan 07, 2021	197.00	200.35	195.10	196.75	196.75	66,024,848
Jan 06, 2021	194.45	197.60	190.65	195.40	195.40	75,621,947
Jan 05, 2021	187.10	193.90	185.05	193.20	193.20	75,752,593
Jan 04, 2021	191.80	193.00	188.75	191.30	191.30	63,980,597
Jan 01, 2021	184.95	187.00	184.50	186.50	186.50	27,334,421
Dec 31, 2020	184.85	187.50	182.80	183.85	183.85	48,978,310
Dec 30, 2020	183.10	185.40	180.40	184.15	184.15	38,576,159
Dec 29, 2020	187.90	188.45	181.10	183.45	183.45	71,318,085
Dec 28, 2020	179.85	187.40	179.00	186.35	186.35	98,012,135
